ds,holiday,country,year
1995-01-01,New Year's Day,Canada,1995
1995-01-02,New Year's Day (Observed),Canada,1995
1995-04-14,Good Friday,Canada,1995
1995-05-22,Victoria Day,Canada,1995
1995-07-01,Canada Day,Canada,1995
1995-07-03,Canada Day (Observed),Canada,1995
1995-08-07,Civic Holiday,Canada,1995
1995-09-04,Labour Day,Canada,1995
1995-10-09,Thanksgiving,Canada,1995
1995-12-25,Christmas Day,Canada,1995
1995-12-26,Boxing Day,Canada,1995
1996-01-01,New Year's Day,Canada,1996
1996-04-05,Good Friday,Canada,1996
1996-05-20,Victoria Day,Canada,1996
1996-07-01,Canada Day,Canada,1996
1996-08-05,Civic Holiday,Canada,1996
1996-09-02,Labour Day,Canada,1996
1996-10-14,Thanksgiving,Canada,1996
1996-12-25,Christmas Day,Canada,1996
1996-12-26,Boxing Day,Canada,1996
1997-01-01,New Year's Day,Canada,1997
1997-03-28,Good Friday,Canada,1997
1997-05-19,Victoria Day,Canada,1997
1997-07-01,Canada Day,Canada,1997
1997-08-04,Civic Holiday,Canada,1997
1997-09-01,Labour Day,Canada,1997
1997-10-13,Thanksgiving,Canada,1997
1997-12-25,Christmas Day,Canada,1997
1997-12-26,Boxing Day,Canada,1997
1998-01-01,New Year's Day,Canada,1998
1998-04-10,Good Friday,Canada,1998
1998-05-18,Victoria Day,Canada,1998
1998-07-01,Canada Day,Canada,1998
1998-08-03,Civic Holiday,Canada,1998
1998-09-07,Labour Day,Canada,1998
1998-10-12,Thanksgiving,Canada,1998
1998-12-25,Christmas Day,Canada,1998
1998-12-28,Boxing Day (Observed),Canada,1998
1999-01-01,New Year's Day,Canada,1999
1999-04-02,Good Friday,Canada,1999
1999-05-24,Victoria Day,Canada,1999
1999-07-01,Canada Day,Canada,1999
1999-08-02,Civic Holiday,Canada,1999
1999-09-06,Labour Day,Canada,1999
1999-10-11,Thanksgiving,Canada,1999
1999-12-24,Christmas Day (Observed),Canada,1999
1999-12-25,Christmas Day,Canada,1999
1999-12-27,Boxing Day (Observed),Canada,1999
1999-12-31,New Year's Day (Observed),Canada,1999
2000-01-01,New Year's Day,Canada,2000
2000-04-21,Good Friday,Canada,2000
2000-05-22,Victoria Day,Canada,2000
2000-07-01,Canada Day,Canada,2000
2000-07-03,Canada Day (Observed),Canada,2000
2000-08-07,Civic Holiday,Canada,2000
2000-09-04,Labour Day,Canada,2000
2000-10-09,Thanksgiving,Canada,2000
2000-12-25,Christmas Day,Canada,2000
2000-12-26,Boxing Day,Canada,2000
2001-01-01,New Year's Day,Canada,2001
2001-04-13,Good Friday,Canada,2001
2001-05-21,Victoria Day,Canada,2001
2001-07-01,Canada Day,Canada,2001
2001-07-02,Canada Day (Observed),Canada,2001
2001-08-06,Civic Holiday,Canada,2001
2001-09-03,Labour Day,Canada,2001
2001-10-08,Thanksgiving,Canada,2001
2001-12-25,Christmas Day,Canada,2001
2001-12-26,Boxing Day,Canada,2001
2002-01-01,New Year's Day,Canada,2002
2002-03-29,Good Friday,Canada,2002
2002-05-20,Victoria Day,Canada,2002
2002-07-01,Canada Day,Canada,2002
2002-08-05,Civic Holiday,Canada,2002
2002-09-02,Labour Day,Canada,2002
2002-10-14,Thanksgiving,Canada,2002
2002-12-25,Christmas Day,Canada,2002
2002-12-26,Boxing Day,Canada,2002
2003-01-01,New Year's Day,Canada,2003
2003-04-18,Good Friday,Canada,2003
2003-05-19,Victoria Day,Canada,2003
2003-07-01,Canada Day,Canada,2003
2003-08-04,Civic Holiday,Canada,2003
2003-09-01,Labour Day,Canada,2003
2003-10-13,Thanksgiving,Canada,2003
2003-12-25,Christmas Day,Canada,2003
2003-12-26,Boxing Day,Canada,2003
2004-01-01,New Year's Day,Canada,2004
2004-04-09,Good Friday,Canada,2004
2004-05-24,Victoria Day,Canada,2004
2004-07-01,Canada Day,Canada,2004
2004-08-02,Civic Holiday,Canada,2004
2004-09-06,Labour Day,Canada,2004
2004-10-11,Thanksgiving,Canada,2004
2004-12-24,Christmas Day (Observed),Canada,2004
2004-12-25,Christmas Day,Canada,2004
2004-12-27,Boxing Day (Observed),Canada,2004
2004-12-31,New Year's Day (Observed),Canada,2004
2005-01-01,New Year's Day,Canada,2005
2005-03-25,Good Friday,Canada,2005
2005-05-23,Victoria Day,Canada,2005
2005-07-01,Canada Day,Canada,2005
2005-08-01,Civic Holiday,Canada,2005
2005-09-05,Labour Day,Canada,2005
2005-10-10,Thanksgiving,Canada,2005
2005-12-25,Christmas Day,Canada,2005
2005-12-26,Christmas Day (Observed),Canada,2005
2005-12-27,Boxing Day (Observed),Canada,2005
2006-01-01,New Year's Day,Canada,2006
2006-01-02,New Year's Day (Observed),Canada,2006
2006-04-14,Good Friday,Canada,2006
2006-05-22,Victoria Day,Canada,2006
2006-07-01,Canada Day,Canada,2006
2006-07-03,Canada Day (Observed),Canada,2006
2006-08-07,Civic Holiday,Canada,2006
2006-09-04,Labour Day,Canada,2006
2006-10-09,Thanksgiving,Canada,2006
2006-12-25,Christmas Day,Canada,2006
2006-12-26,Boxing Day,Canada,2006
2007-01-01,New Year's Day,Canada,2007
2007-04-06,Good Friday,Canada,2007
2007-05-21,Victoria Day,Canada,2007
2007-07-01,Canada Day,Canada,2007
2007-07-02,Canada Day (Observed),Canada,2007
2007-08-06,Civic Holiday,Canada,2007
2007-09-03,Labour Day,Canada,2007
2007-10-08,Thanksgiving,Canada,2007
2007-12-25,Christmas Day,Canada,2007
2007-12-26,Boxing Day,Canada,2007
